scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,raw_targeted_benign_successes,valid_targeted_benign_successes,raw_targeted_benign_asr,valid_targeted_benign_asr,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2018_distrinet,cnn-s42,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2026,3200,835,835,3197,0.2609375,0.2609375,0.0,0.9990625,835,835,0.2609375,0.2609375,189.8425,5686.605331631557,5677.048938628939,0.1774680426468149,8.6325,0,0.10000000149011612,0.0,11684580.0,9.069169599795714,2.8341154999361606
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,42,3200,4,4,3198,0.00125,0.00125,0.0,0.999375,4,4,0.00125,0.00125,189.92125,2404.1238176383076,2352.8691791981123,0.4915432939814081,8.4853125,0,0.07499999739229679,0.0,3599891.5,42.10026609990746,13.15633315622108
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2024,3200,4,4,3198,0.00125,0.00125,0.0,0.999375,4,4,0.00125,0.00125,189.92125,2423.1729849450285,2371.892825193211,0.49188181751380805,8.4771875,0,0.07499999739229679,0.0,3599891.5,42.05222070007585,13.141318968773703
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,2026,3200,4,4,3198,0.00125,0.00125,0.0,0.999375,4,4,0.00125,0.00125,189.92125,2367.452869090866,2315.905282755098,0.4916404143257311,8.4796875,0,0.07499999739229679,0.0,3599891.5,44.784983900142834,13.995307468794635
victim,cicids2017_distrinet,mlp,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,42,3200,74,74,3200,0.023125,0.023125,0.0,1.0,74,74,0.023125,0.023125,188.4984375,2299.2811023524328,2299.2503699983763,0.013264243242282849,8.113125,0,0.6812851130962372,0.0,1072171.5,9.645066100172698,3.0140831563039683
victim,cicids2017_distrinet,mlp,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2024,3200,74,74,3200,0.023125,0.023125,0.0,1.0,74,74,0.023125,0.023125,188.4984375,2298.7679871096743,2298.7372512282777,0.01325260885344689,8.113125,0,0.6547170281410217,0.0,1068665.0,10.515909799840301,3.286221812450094
victim,cicids2017_distrinet,mlp,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2026,3200,74,74,3200,0.023125,0.023125,0.0,1.0,74,74,0.023125,0.023125,188.4984375,2300.5424800931255,2300.5117475023867,0.013259523310342112,8.11375,0,0.6936441361904144,0.0,1069845.0,10.854439100017771,3.3920122187555535
victim,cicids2017_distrinet,cnn,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,42,3200,294,294,3200,0.091875,0.091875,0.0,1.0,294,294,0.091875,0.091875,188.4984375,2078.943989538714,2078.913594383034,0.012196771268072509,8.15875,0,0.5812603831291199,0.0,1003014.0,9.167282900074497,2.8647759062732803
victim,cicids2017_distrinet,cnn,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2024,3200,294,294,3200,0.091875,0.091875,0.0,1.0,294,294,0.091875,0.091875,188.4984375,2079.8020045167273,2079.7714004030436,0.012247672378627473,8.1675,0,0.6000000834465027,0.0,1043114.5,9.10781479999423,2.846192124998197
victim,cicids2017_distrinet,cnn,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2026,3200,294,294,3200,0.091875,0.091875,0.0,1.0,294,294,0.091875,0.091875,188.4984375,2081.751732528104,2081.7211286639135,0.012268470101934438,8.1684375,0,0.6006999313831329,0.0,1030091.0,9.08801249996759,2.840003906239872
