,params._lambda,params.optimizer,params.lr,params.max_iter,params.sample_num,params.kappa,metrics.success_rate,metrics.mean_l2_distance,metrics.mean_linf_distance,metrics.perturbed_features_latent,metrics.perturbed_features_input,metrics.mean_confidence_successful,metrics.mean_confidence_unsuccessful,metrics.min_confidence_unsuccessful,metrics.max_confidence_unsuccessful,metrics.mean_md_distance,metrics.outlier_rate,metrics.outliers,attack,dataset,model,params.epsilon,params.alpha,params.num_steps,params.p_norm
51,1.0,adam,0.1,300.0,500,0.0,0.09395973154362416,0.0014686895301565528,0.0010295595275238156,1.1428571428571428,9.642857142857142,0.5397877033267703,0.21770363648732502,0.02662569284439087,0.4962053894996643,2.401072457726207,0.0,0/14,baseline,german_credit,MLP,,,,
52,1.0,adam,0.1,300.0,500,0.0,0.1111111111111111,0.006909971125423908,0.005353051237761974,3.235294117647059,10.294117647058824,0.5630444288253784,0.2641753580640344,0.16459661722183228,0.49619060754776,2.367716454442032,0.0,0/17,baseline,german_credit,SoftDecisionTree,,,,
53,1.0,adam,0.1,300.0,500,0.0,0.1342281879194631,0.002986570820212364,0.002481594681739807,1.2,9.95,0.6234300687909127,0.16427035756813463,0.004483044147491455,0.4982600808143616,2.534350510404841,0.05,1/20,baseline,german_credit,TabTransformer,,,,
54,1.0,adam,0.1,300.0,500,0.0,0.802,0.5009191036224365,0.3418301045894623,7.12219451371571,7.022443890274314,0.5198255517238988,0.2774955714591826,1.7881393432617188e-06,0.48613661527633667,2.464839320606381,0.029925187032418952,12/401,baseline,electricity,MLP,,,,
55,1.0,adam,0.1,300.0,500,0.0,0.888,0.5528030395507812,0.3742618262767792,7.436936936936937,7.024774774774775,0.508766159012511,0.29308093019894194,0.0023424625396728516,0.49603885412216187,2.545539963723626,0.04504504504504504,20/444,baseline,electricity,SoftDecisionTree,,,,
56,1.0,adam,0.1,300.0,500,0.0,0.828,0.5188910365104675,0.35117414593696594,7.265700483091788,7.009661835748792,0.515762371753437,0.2422268203524656,0.005743205547332764,0.4990537762641907,2.485076060900489,0.021739130434782608,9/414,baseline,electricity,TabTransformer,,,,
57,1.0,adam,0.1,300.0,500,0.0,0.8873239436619719,0.35558903217315674,0.20858058333396912,11.71655328798186,10.065759637188208,0.5861813286802459,0.3427207890365805,0.028204143047332764,0.5189928412437439,4.736654779771665,0.36054421768707484,159/441,baseline,covertype,MLP,,,,
58,1.0,adam,0.1,300.0,500,0.0,0.9295774647887324,0.3830623924732208,0.22810719907283783,13.017316017316018,10.119047619047619,0.5822071898647975,0.3790010256426675,0.10988712310791016,0.6047454476356506,4.523586377883507,0.329004329004329,152/462,baseline,covertype,SoftDecisionTree,,,,
59,1.0,adam,0.1,300.0,500,0.0,0.9295774647887324,0.3830623924732208,0.22810719907283783,13.017316017316018,10.119047619047619,0.5822071898647975,0.3790010256426675,0.10988712310791016,0.6047454476356506,4.523586377883507,0.329004329004329,152/462,baseline,covertype,SoftDecisionTree,,,,
60,1.0,adam,0.1,300.0,500,0.0,0.9899396378269618,0.4730018079280853,0.2704598903656006,11.707317073170731,10.024390243902438,0.6219113578989136,0.33414745330810547,0.24519068002700806,0.48550736904144287,4.45567845693231,0.266260162601626,131/492,baseline,covertype,TabTransformer,,,,
61,,,,,500,,0.222,0.37554481625556946,0.1000000461935997,16.0,4.243243243243243,0.6521042336369991,0.16309619348275936,0.0,0.49939823150634766,3.5384973118679377,0.08108108108108109,9/111,pgd,adult,MLP,0.1,0.03,10.0,
62,,,,,500,,0.222,0.3810793459415436,0.1000000461935997,16.0,4.243243243243243,0.6620375384274568,0.16345495230740936,0.0,0.49896764755249023,3.5027087372599697,0.08108108108108109,9/111,pgd,adult,MLP,0.1,0.03,30.0,
63,,,,,500,,0.226,0.3798702657222748,0.10000002384185791,16.0,4.247787610619469,0.6558826150047073,0.1617044666324783,0.0,0.497850239276886,3.506650708301621,0.08849557522123894,10/113,pgd,adult,MLP,0.1,0.03,50.0,
