scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,Recon,2024,800,0,0,800,0.0,0.0,0.0,1.0,3.8575,0.37298040885135947,0.3713704761285819,4.427410117905019e-05,0.15125,0,,,,2.5855220002122223,3.231902500265278
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,Recon,2026,800,0,0,800,0.0,0.0,0.0,1.0,3.8575,0.37298040885135947,0.3713704761285819,4.427410117905019e-05,0.15125,0,,,,2.5934176000300795,3.2417720000375994
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,BruteForce,42,800,11,11,800,0.01375,0.01375,0.0,1.0,251.7,3776.970276009807,3776.9590267944923,0.05248211692758933,20.44625,0,0.19230769574642181,15.0,0.0,11.188274399843067,13.985342999803834
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,BruteForce,2024,800,11,11,800,0.01375,0.01375,0.0,1.0,251.7,3778.7636711404793,3778.752423533623,0.05248670805546648,20.445,0,0.19230769574642181,15.0,0.0,11.283298199996352,14.10412274999544
class,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,BruteForce,2026,800,11,11,800,0.01375,0.01375,0.0,1.0,251.7,3778.714733063304,3778.703483316232,0.052476893961231494,20.44375,0,0.19230769574642181,15.0,0.0,11.3013573999051,14.126696749881376
class,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,42,800,0,0,800,0.0,0.0,0.0,1.0,241.20125,0.8558222748755163,0.7929567468486275,0.0002717376993230353,2.06375,0,,,,2.7360737998969853,3.4200922498712316
class,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,2024,800,0,0,800,0.0,0.0,0.0,1.0,241.20125,0.8811712846820836,0.8174777602150877,0.00027759066006879024,2.12,0,,,,2.6462467999663204,3.3078084999579005
class,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DoS,2026,800,0,0,800,0.0,0.0,0.0,1.0,241.20125,0.8713790168726879,0.8081242955343966,0.0002729771399229809,2.08,0,,,,2.6883392999880016,3.360424124985002
class,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,42,800,4,3,34,0.005,0.00375,0.12500000000000003,0.0425,245.48125,1126.3326339030455,1124.8982719299445,0.0848700034560919,19.495,0,0.9289625287055969,0.0,1875256.0,2.34919280000031,2.9364910000003874
class,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,2024,800,3,3,36,0.00375,0.00375,0.0,0.045,245.48125,1126.8381760754728,1125.4149133333333,0.08493079804226181,19.4125,0,0.9999995827674866,0.0,2058446.0,2.3778377000708133,2.9722971250885166
class,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_targeted,Hybrid Search targeted→Benign,targeted,p75,DDoS,2026,800,2,1,38,0.0025,0.00125,0.125,0.0475,245.48125,1128.254550265265,1126.8175333333334,0.0848072004802979,19.4175,0,0.9000002145767212,0.0,1398066.0,2.3305603999178857,2.913200499897357
